TIMESTAMP,TID,TGID,STATE,USER,EXE,COMM,SYSCALL_PASSIVE,SYSCALL_ACTIVE,SC_ENTRY_TIME,SC_US_SO_FAR,SC_SEQ_NUM,ARG0,FILENAME
2024-12-28T23:55:59.375519,1461,1461,SLEEP,"root","atopacctd","atopacctd",recvfrom,read,2024-12-28T23:55:59.373590,0,0,5,"NETLINK"
2024-12-28T23:55:59.375519,1488,1372,SLEEP,"root","thermald","thermald",poll,read,2024-12-28T23:55:59.373565,0,0,58de97ea26f8,"-"
2024-12-28T23:55:59.375519,1514,1514,SLEEP,"root","atop","atop",pause,read,2024-12-28T23:55:59.373543,0,0,0,"null"
2024-12-28T23:55:59.375519,1524,1401,SLEEP,"root","NetworkManager","gmain",poll,read,2024-12-28T23:55:59.373520,0,0,5f8d2a083ba0,"-"
2024-12-28T23:55:59.375519,1525,1401,SLEEP,"root","NetworkManager","pool-spawner",futex,read,2024-12-28T23:55:59.373497,0,0,5f8d2a084740,"-"
2024-12-28T23:55:59.375519,1527,1401,SLEEP,"root","NetworkManager","gdbus",poll,read,2024-12-28T23:55:59.373475,0,0,75053c000b90,"-"
2024-12-28T23:55:59.375519,1560,1560,SLEEP,"syslog","rsyslogd","rsyslogd",pselect6,read,2024-12-28T23:55:59.373452,0,0,0,"null"
2024-12-28T23:55:59.375519,1584,1361,SLEEP,"polkitd","polkitd","gmain",poll,read,2024-12-28T23:55:59.373425,0,0,57beefdd13a0,"-"
2024-12-28T23:55:59.375519,1587,1361,SLEEP,"polkitd","polkitd","pool-spawner",futex,read,2024-12-28T23:55:59.373397,0,0,57beefdbed00,"-"
2024-12-28T23:55:59.375519,1593,1361,SLEEP,"polkitd","polkitd","gdbus",poll,read,2024-12-28T23:55:59.373368,0,0,7d7b44000b90,"-"
2024-12-28T23:55:59.375519,1623,1623,SLEEP,"root","ModemManager","ModemManager",poll,read,2024-12-28T23:55:59.373340,0,0,5fd68bc4ba40,"-"
2024-12-28T23:55:59.375519,1629,1373,SLEEP,"root","udisksd","probing-thread",futex,read,2024-12-28T23:55:59.373317,0,0,603ab408cd10,"-"
2024-12-28T23:55:59.375519,1630,1630,SLEEP,"root","boltd","boltd",poll,read,2024-12-28T23:55:59.373291,0,0,61ec9c6ad440,"-"
2024-12-28T23:55:59.375519,1674,1369,SLEEP,"root","snapd","snapd",select,read,2024-12-28T23:55:59.373267,0,0,d,"-"
2024-12-28T23:55:59.375519,1677,1560,SLEEP,"syslog","rsyslogd","in:imuxsock",poll,read,2024-12-28T23:55:59.373245,0,0,7a6890000b90,"-"
2024-12-28T23:55:59.375519,1678,1560,SLEEP,"syslog","rsyslogd","in:imklog",read,read,2024-12-28T23:55:59.373209,0,0,6,"kmsg"
2024-12-28T23:55:59.375519,1679,1560,SLEEP,"syslog","rsyslogd","rs:main Q:Reg",futex,read,2024-12-28T23:55:59.373182,0,0,60a83bfb17a0,"-"
