KSTACK_HASH,KSTACK_SYMS
896e4874559bd08,'sk_wait_data+0x17f;tcp_recvmsg_locked+0x24d;tcp_recvmsg+0x84;inet6_recvmsg+0x54;sock_recvmsg+0x63;sock_read_iter+0x8c;vfs_read+0x343;ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
ba59472092689a82,'xhci_msi_irq+0x11;__handle_irq_event_percpu+0x4f;handle_irq_event+0x39;handle_edge_irq+0x8c;__common_interrupt+0x51;common_interrupt+0x54;asm_common_interrupt+0x27'
9f6f9c0347ef6a0f,'sched_clock+0x10'
5adc3e93cfbafbbd,'submit_bio_noacct+0x26;dm_submit_bio_remap+0x49;__map_bio+0x137;__split_and_process_bio+0xc9;dm_split_and_process_bio+0xf5;dm_submit_bio+0x4f;__submit_bio+0x1a1;__submit_bio_noacct+0x91;submit_bio_noacct_nocheck+0x1f8;submit_bio_noacct+0x16c;submit_bio+0xb1;iomap_dio_submit_bio+0x84;iomap_dio_bio_iter+0x3a0;__iomap_dio_rw+0x3a4;iomap_dio_rw+0x11;xfs_file_dio_read+0xcf;xfs_file_read_iter+0x126;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
66e918f805d3446c,'irqentry_exit_to_user_mode+0x109;irqentry_exit+0x43;common_interrupt+0x64;asm_common_interrupt+0x27'
82753304c9b1e9a4,'sched_clock_noinstr+0x9'
f725a37462344523,'__pick_next_task+0x42;pick_next_task+0x32;wait_woken+0x5b;sk_wait_data+0x17f;tcp_recvmsg_locked+0x24d;tcp_recvmsg+0x84;inet6_recvmsg+0x54;sock_recvmsg+0x63;sock_read_iter+0x8c;vfs_read+0x343;ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
ac475d035dc20702,'put_pid+0x13'
179f1051be2b4903,'rcu_gp_fqs_loop+0x105;rcu_gp_kthread+0xec;kthread+0xfe;ret_from_fork+0x47;ret_from_fork_asm+0x1a'
b2bcad0368bb5df2,'resched_curr+0x13'
a206c904ff564b86,'ip_sublist_rcv+0x177'
ee6e5103ce2a379e,'__mod_memcg_state+0xbf'
a200f104ff4c5d7e,'ip_sublist_rcv_finish+0x6f'
3f0bb52255e905cd,'asm_sysvec_apic_timer_interrupt+0x1b;_copy_to_iter+0x0;__skb_datagram_iter+0x7b;skb_copy_datagram_iter+0x37;tcp_recvmsg_locked+0x890;tcp_recvmsg+0x84;inet6_recvmsg+0x54;sock_recvmsg+0x63;sock_read_iter+0x8c;vfs_read+0x343;ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
c6f5aa6bd4baddc6,'__flush_write_list+0x92;dm_bufio_write_dirty_buffers+0x7e;dm_bm_flush+0x21;dm_tm_pre_commit+0x2d;__commit_transaction+0xa8;dm_cache_commit+0xc4;commit+0x2f;commit_op+0x38;__commit+0x9e;process_one_work+0x17b;worker_thread+0x2de;kthread+0xfe;ret_from_fork+0x47;ret_from_fork_asm+0x1a'
4d64b2fc4dacabf7,'do_mprotect_pkey+0x107;__x64_sys_mprotect+0x1f;x64_sys_call+0xb8f;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
af358d0362bcc292,'ttwu_do_activate+0x143'
68200a57dff334f9,'_nv052775rm+0xd6'
3daf0c5797d5355f,'_nv006445rm+0xc0'
2b56095778a7f546,'_nv013763rm+0x157'
efbd7403d063b017,'atime_needs_update+0xa8'
319359fc7e56a634,'x64_sys_call+0x2c4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
